ID,Ru
game_title,FUNNY TILES
settings_head,НАСТРОЙКИ
timer_but,НА ВРЕМЯ
moves_but,КЛАССИЧЕСКИЙ
dzen_but,РЕЛАКС
music_but,МУЗЫКА
sound_but,ЗВУКИ
save_but,СОХРАНИТЬ ПРОГРЕСС
shop_but,МАГАЗИН
lang_but,ЯЗЫК
booster_1_popup,Выбери монстра для уничтожения.
booster_1_new,Бустер уничтожает всех выбранных монстров на поле. Выбери монстра.
booster_2_new,Бустер генерирует новое игровое поле. Использовать бустер.
yes_but,Приступим!
no_but,ОТМЕНА
quit_pop,Выйти из игры?
goShop_pop,Бустеры кончились. Перейти в магазин?
loading,Загрузка...
lose,Ты проиграл!\n Твой счёт: {0}\n
win,Хорошая работа!\n Твои бонусные очки: {0}\n
moves,Ходы:
win_dzen,Поздравляем!\n Уровень пройден!
no_internet,Отсутствует соединение с интернетом
scores,Очки:
super,Супер!
got_boosters,Только что ты получил бустеры.
well_done,Хорошая работа!
got_crystals,Ты только что получил кристаллы.
time_bonus,Ты получаешь бонусные очки за оставшееся время.
moves_bonus,Ты получаешь бонусные очки за оставшиеся ходы.
